BE,uBE,N,Z,eBE
524.543,0.603,44,23,1
291.756,0.41,17,24,1
313.152,0.294,18,24,1
330.24,0.215,19,24,1
349.783566,0.051233600000000004,20,24,0
363.947787,0.035397,21,24,0
381.97587180000005,0.011454,22,24,0
395.1387149,0.0051982,23,24,0
411.46825440000003,0.0073104,24,24,0
422.0506073,0.0022001,25,24,0
435.05094,9.5e-05,26,24,0
444.3116073,0.0001683,27,24,0
456.3517192,0.0001144,28,24,0
464.29114590000006,0.00011660000000000002,29,24,0
474.01022879999994,0.000135,30,24,0
480.256491,0.00023099999999999998,31,24,0
488.5026103999999,0.0005767999999999999,32,24,0
493.81378859999995,0.0018639,33,24,0
501.3519246,0.0029812000000000003,34,24,0
505.5473705,0.0006726,35,24,0
512.411256,0.0011159999999999998,36,24,0
516.0705773999999,0.0018605,37,24,0
522.4980002,0.0034471999999999997,38,24,0
525.8950074,0.0726579,39,24,0
531.4280064,0.2999424,40,24,0
534.17,0.195,41,24,1
539.088,0.33,42,24,1
541.293,0.402,43,24,1
545.768,0.476,44,24,1
547.791,0.483,45,24,1
551.88,0.63,46,24,1
310.159,0.387,18,25,1
328.108,0.308,19,25,1
348.615,0.315,20,25,1
364.139703,0.0866272,21,25,0
382.3596499,0.0316686,22,25,0
397.1612352,0.0067008,23,25,0
413.555835,0.0022148,24,25,0
426.634115,0.00011499999999999999,25,25,0
440.3217702,0.000306,26,25,0
450.8612524,0.00013000000000000002,27,25,0
462.9115294,0.00034449999999999997,28,25,0
471.85074720000006,0.0010044,29,25,0
482.07635849999997,0.0002585,30,25,0
489.34680480000003,0.00029120000000000003,31,25,0
497.9927322,0.0015048,32,25,0
504.4053404,0.0027028000000000004,33,25,0
512.1744216,0.0023305,34,25,0
517.688352,0.002328,35,25,0
524.5338576999999,0.0023302,36,25,0
529.3870124,0.006540999999999999,37,25,0
535.8214260000001,0.0037233,38,25,0
539.9947199999999,0.0035392,39,25,0
546.044343,0.0037245,40,25,0
549.8987076,0.011180399999999998,41,25,0
554.827,0.201,42,25,1
558.212,0.272,43,25,1
562.695,0.414,44,25,1
565.88,0.49,45,25,1
570.13,0.497,46,25,1
572.76,0.576,47,25,1
576.335,0.584,48,25,1
328.455,0.27,19,26,1
349.738,0.322,20,26,1
366.13,0.517,21,26,1
385.09081920000006,0.09221760000000001,22,26,0
399.9042929,0.0242207,23,26,0
417.70133999999996,0.008385,24,26,0
431.4853827,0.0013974,25,26,0
447.6996108,0.000182,26,26,0
458.3863205,0.0016695,27,26,0
471.7647683999999,0.0003456,28,26,0
481.06289549999997,0.000308,29,26,0
492.25995279999995,0.0002688,30,26,0
499.90612530000004,0.0002679,31,26,0
509.9506972,0.000319,32,26,0
516.5317014,0.00033039999999999995,33,26,0
525.3512340000001,0.0034080000000000004,34,26,0
530.9298846,0.0026108,35,26,0
538.9587521999999,0.0027962000000000004,36,26,0
543.7876437,0.0043029,37,26,0
551.1928832000001,0.0050176,38,26,0
555.5125549999999,0.005109,39,26,0
562.4338170000001,0.0040986,40,26,0
566.1457053,0.003819,41,26,0
572.424,0.204,42,26,1
575.805,0.207,43,26,1
581.56,0.28,44,26,1
584.685,0.426,45,26,1
590.04,0.504,46,26,1
592.833,0.511,47,26,1
597.624,0.518,48,26,1
599.7,0.6,49,26,1
603.668,0.608,50,26,1
347.612,0.611,20,27,1
364.56,0.48,21,27,1
384.16,0.49,22,27,1
400.031935,0.12575,23,27,0
417.8559999,0.0484398,24,27,0
432.92915120000004,0.0052832,25,27,0
449.3158634,0.0017277999999999998,26,27,0
462.7378746,0.0003564,27,27,0
476.829122,0.000407,28,27,0
486.91096159999995,0.000476,29,27,0
498.2874165,0.000513,30,27,0
506.8603702,0.0011542000000000002,31,27,0
517.3142361,0.0003953,32,27,0
524.806152,0.000402,33,27,0
534.125211,0.0008418,34,27,0
540.7227514,0.0185752,35,27,0
549.2212236,0.018572400000000003,36,27,0
555.2334272,0.0200064,37,27,0
562.697512,0.0020800000000000003,38,27,0
567.9921654,0.0139722,39,27,0
574.9767274000001,0.0064454,40,27,0
579.3688468,0.0038556,41,27,0
586.1830277999999,0.085698,42,27,0
590.39386,0.01099,43,27,0
596.3101424,0.46502869999999996,44,27,0
600.336,0.288,45,27,1
606.046,0.292,46,27,1
609.686,0.37,47,27,1
614.775,0.375,48,27,1
617.956,0.532,49,27,1
622.314,0.616,50,27,1
623.766,0.702,51,27,1
347.328,0.432,20,28,1
365.05,0.588,21,28,1
385.1,0.5,22,28,1
401.37,0.51,23,28,1
420.3626804,0.0829036,24,28,0
435.50496969999995,0.025148499999999997,25,28,0
453.2237712000001,0.0046548,26,28,0
467.3527375,0.0007040000000000001,27,28,0
483.99574160000003,0.0003976,28,28,0
494.2433748,0.0005643,29,28,0
506.4596018,0.00034800000000000006,30,28,0
515.4588808000001,0.000354,31,28,0
526.846614,0.000354,32,28,0
534.6667141,0.0003538,33,28,0
545.262441,0.0004278,34,28,0
552.1002165000001,0.0004284,35,28,0
561.7576768,0.0004608,36,28,0
567.8557559999999,0.00048100000000000004,37,28,0
576.8075676,0.0013992,38,28,0
582.6152835,0.0028877,39,28,0
590.4077356,0.0029783999999999995,40,28,0
594.9938861999999,0.003726,41,28,0
602.300419,0.002142,42,28,0
606.5641043999999,0.0022364999999999998,43,28,0
613.4552496,0.0022392,44,28,0
617.4086616999999,0.0024236,45,28,0
624.042,0.222,46,28,1
627.675,0.225,47,28,1
633.688,0.304,48,28,1
636.944,0.385,49,28,1
642.564,0.39,50,28,1
643.85,0.474,51,28,1
647.04,0.56,52,28,1
648.0,0.729,53,28,1
650.67,0.82,54,28,1
398.892,0.624,23,29,1
418.223,0.477,24,29,1
434.43,0.378,25,29,1
452.86983499999997,0.15556199999999998,26,29,0
467.9354792,0.0063952,27,29,0
484.6860822,0.0005016,28,29,0
497.1162368,0.0005626,29,29,0
509.87815929999994,0.0005309999999999999,30,29,0
519.936282,0.0016140000000000002,31,29,0
531.6464028,0.0009516,32,29,0
540.5212018,0.0006386,33,29,0
551.3848452,0.0004284,34,29,0
559.3007104,0.0004288,35,29,0
569.2112855,0.0006435000000000001,36,29,0
576.277218,0.0006467999999999999,37,29,0
585.4097998999999,0.0008911,38,29,0
591.7286083999999,0.0015844000000000001,39,29,0
599.9691036,0.0014006999999999997,40,29,0
605.280585,0.001085,41,29,0
613.0866543000001,0.0014910000000000001,42,29,0
618.2298432,0.0013968000000000001,43,29,0
625.5056027,0.0019418,44,29,0
630.5956842,0.006149399999999999,45,29,0
637.1310074999999,0.0007199999999999999,46,29,0
641.7137368000001,0.000912,47,29,0
647.6662577,0.0012089,48,29,0
651.664221,0.0133302,49,29,0
657.354102,0.1049831,50,29,0
659.68,0.32,51,29,1
662.985,0.324,52,29,1
664.856,0.41,53,29,1
667.652,0.498,54,29,1
669.06,0.504,55,29,1
418.068,0.216,24,30,1
434.72,0.385,25,30,1
453.936,0.392,26,30,1
469.167,0.228,27,30,1
486.9649086,0.0500018,28,30,0
499.95303179999996,0.0007611,29,30,0
514.983144,0.000546,30,30,0
525.2288978,0.0158966,31,30,0
538.1193962000001,0.0006138000000000001,32,30,0
547.2360557999999,0.0015624,33,30,0
559.0979648,0.0006464,34,30,0
567.07729,0.0006435000000000001,35,30,0
578.135811,0.0007457999999999999,36,30,0
585.1882777999999,0.0007571,37,30,0
595.386376,0.000782,38,30,0
601.8684459000001,0.0007934999999999999,39,30,0
611.0866020000001,0.0019180000000000002,40,30,0
616.9219606999999,0.0026554,41,30,0
625.8099816,0.0021456,42,30,0
631.3292215,0.0018614999999999999,43,30,0
639.5638478,0.002516,44,30,0
644.4373575000001,0.0019575,45,30,0
652.252786,0.0014592,46,30,0
656.8102848999999,0.0019712,47,30,0
663.5756399999999,0.0019421999999999998,48,30,0
667.5960175000001,0.0022278,49,30,0
673.8836560000001,0.002584,50,30,0
676.5060222,0.0050301,51,30,0
680.691635,0.0030749999999999996,52,30,0
682.758,0.332,53,30,1
686.364,0.42,54,30,1
687.65,0.51,55,30,1
690.752,0.516,56,30,1
431.592,0.504,25,31,1
451.212,0.399,26,31,1
467.422,0.29,27,31,1
485.688,0.177,28,31,1
499.62,0.18,29,31,1
515.2323093,0.0379908,30,31,0
528.1559838,0.0006386,31,31,0
540.7873821000001,0.0013041,32,31,0
551.1444288,0.0014272,33,31,0
563.0404064999999,0.0007930000000000001,34,31,0
572.1779646000001,0.0010956,35,31,0
583.404711,0.0011792,36,31,0
591.682926,0.0014280000000000002,37,31,0
601.9960061999999,0.0012005999999999998,38,31,0
609.649656,0.001204,39,31,0
618.9499549999999,0.0008094,40,31,0
625.4704295999999,0.0008208,41,31,0
634.6528020000001,0.0016790000000000002,42,31,0
641.0744024,0.002997,43,31,0
649.5567374999999,0.0006675,44,31,0
655.4640672,0.0019532,45,31,0
663.2310838999999,0.0024255,46,31,0
669.0141354,0.001053,47,31,0
675.9297275,0.0012086999999999998,48,31,0
680.6763599999999,0.002888,49,31,0
687.1519656,0.0032643000000000004,50,31,0
690.5260508,0.0024272,51,31,0
694.9237748,0.0026145,52,31,0
697.8321,0.029811599999999997,53,31,0
701.5533395,0.037264000000000005,54,31,0
703.652,0.43,55,31,1
706.788,0.522,56,31,1
708.4,0.528,57,31,1
450.66,0.522,26,32,1
467.516,0.413,27,32,1
486.78,0.3,28,32,1
501.115,0.305,29,32,1
517.514,0.124,30,32,1
530.3791521,0.037258200000000005,31,32,0
545.8447552,0.0037248,32,32,0
556.078796,0.0021645,33,32,0
569.2789277999999,0.0024024000000000003,34,32,0
578.4169228000001,0.004321500000000001,35,32,0
590.7933227999999,0.0018768,36,32,0
598.9865159999999,0.0013178999999999999,37,32,0
610.519196,0.0008190000000000001,38,32,0
617.9351377999999,0.0008165,39,32,0
628.6857047999999,7.92e-05,40,32,0
635.4686499999999,5.84e-05,41,32,0
645.6648814000001,2.2199999999999998e-05,42,32,0
652.17072,5.2499999999999995e-05,43,32,0
661.5979664,2.28e-05,44,32,0
667.6692561,5.3899999999999996e-05,45,32,0
676.3897608000001,0.0035334,46,32,0
682.1262031,0.0371616,47,32,0
