Z,N,spinAndParity,betaMinus(keV),massExcess(keV),bindingEnergyLDMFit(keV),bindingEnergy(keV),bindingEnergyUncertainty,bindingEnergyLDMFitUncertainty,halflife,A,I,J,parity,S,L,d,P,K,np,nn,T,BEpA,BE,semf,error_semf,dz,error_dz
11,18,3/2+,13292.0,2680.0,21.4,7682.2,3,3,1,29,0.2413793103448276,1.5,1.0,-0.5,2.0,0,1.199999760000048,3.072316825685847,8,20,3.5,7.6822,222.78379999999999,220.70013883122346,2.08366116877653,222.9245941742473,-0.14079417424730423
11,17,1+,14032.0,-988.0,-3.4,7799.3,4,4,1,28,0.21428571428571427,1.0,1.0,-0.5,1.5,-1,1.4999997500000417,3.0365889718756622,8,20,3.0,7.799300000000001,218.3804,215.69712584558624,2.683274154413766,217.99377043872494,0.38662956127507186
11,17,1+,14032.0,-988.0,-3.4,7799.3,4,4,1,28,0.21428571428571427,1.0,1.0,-0.5,1.5,-1,1.4999997500000417,3.0365889718756622,8,20,3.0,7.799300000000001,218.3804,215.69712584558624,2.683274154413766,217.99377043872494,0.38662956127507186
11,19,2+,17356.0,8475.0,-65.95,7501.97,16,16,1,30,0.26666666666666666,2.0,1.0,-0.5,2.5,-1,0.7499998125000469,3.1072325059538586,8,20,4.0,7.50197,225.0591,220.35470696484037,4.704393035159626,225.21278779484527,-0.1536877948452684
11,19,2+,17356.0,8475.0,-65.95,7501.97,16,16,1,30,0.26666666666666666,2.0,1.0,-0.5,2.5,-1,0.7499998125000469,3.1072325059538586,8,20,4.0,7.50197,225.0591,220.35470696484037,4.704393035159626,225.21278779484527,-0.1536877948452684
11,19,2+,17356.0,8475.0,-65.95,7501.97,16,16,1,30,0.26666666666666666,2.0,1.0,-0.5,2.5,-1,0.7499998125000469,3.1072325059538586,8,20,4.0,7.50197,225.0591,220.35470696484037,4.704393035159626,225.21278779484527,-0.1536877948452684
11,19,2+,17356.0,8475.0,-65.95,7501.97,16,16,1,30,0.26666666666666666,2.0,1.0,-0.5,2.5,-1,0.7499998125000469,3.1072325059538586,8,20,4.0,7.50197,225.0591,220.35470696484037,4.704393035159626,225.21278779484527,-0.1536877948452684
12,11,3/2+,-12221.7,-5473.67,64.8968,7901.1229,14,14,1,23,-0.043478260869565216,1.5,1.0,-0.5,2.0,0,1.71428546938779,2.8438669798515654,8,8,0.5,7.901122900000001,181.72582670000003,181.24781077032836,0.4780159296716704,180.61582498282283,1.110001717177198
12,10,0+,-18600.0,-399.99,88.183,7662.765,7,7,1,22,-0.09090909090909091,0.0,1.0,0.0,0.0,1,1.3333331111111482,2.802039330655387,8,8,1.0,7.662765,168.58083,168.62365789045717,-0.0428278904571755,167.72933636740427,0.8514936325957194
12,13,5/2+,-4276.81,-13192.78,79.2978,8223.5028,19,19,0,25,0.04,2.5,1.0,0.5,2.0,0,2.2222219753086696,2.924017738212866,8,8,0.5,8.2235028,205.58757,205.37683827460518,0.21073172539482243,205.09110301796917,0.4964669820308245
12,12,0+,-13884.77,-13933.578,24.6768,8260.7103,6,6,0,24,0.0,0.0,1.0,0.0,0.0,1,1.9999997500000315,2.8844991406148166,8,8,0.0,8.260710300000001,198.25704720000004,196.71339720288455,1.5436499971154944,196.83571936659246,1.421327833407588
12,15,1/2+,2610.27,-14586.59,74.4519,8263.8525,18,18,1,27,0.1111111111111111,0.5,1.0,0.5,0.0,0,2.2222219753086696,3.0,8,20,1.5,8.2638525,223.1240175,222.75066666666677,0.3733508333332338,222.69850084220954,0.42551665779046743
12,14,0+,-4004.4,-16214.54,108.5269,8333.8711,11,11,0,26,0.07692307692307693,0.0,1.0,0.0,0.0,1,2.399999760000024,2.9624960684073702,8,8,1.0,8.3338711,216.68064859999998,217.16264166321753,-0.4819930632175442,217.05598625742348,-0.37533765742350056
12,17,3/2+,7595.4,-10612.4,70.401,8113.532,12,12,1,29,0.1724137931034483,1.5,1.0,-0.5,2.0,0,1.71428546938779,3.072316825685847,8,20,2.5,8.113532,235.29242799999997,234.78738487672416,0.5050431232758115,234.84494670253912,0.44748129746085397
12,16,0+,1830.8,-15019.9,89.883,8272.453,9,9,1,28,0.14285714285714285,0.0,1.0,0.0,0.0,1,1.9999997500000315,3.0365889718756622,8,20,2.0,8.272452999999999,231.62868399999996,231.63121857343594,-0.002534573435980292,230.9261691293948,0.7025148706051709
12,19,1/2(+),11829.0,-3122.0,41.26,7869.19,10,10,1,31,0.22580645161290322,0.5,1.0,0.5,0.0,0,0.799999840000032,3.1413806523913927,8,20,3.5,7.86919,243.94489,242.53755252242888,1.4073374775711045,244.20615980783722,-0.2612698078372375
12,19,1/2(+),11829.0,-3122.0,41.26,7869.19,10,10,1,31,0.22580645161290322,0.5,1.0,0.5,0.0,0,0.799999840000032,3.1413806523913927,8,20,3.5,7.86919,243.94489,242.53755252242888,1.4073374775711045,244.20615980783722,-0.2612698078372375
12,18,0+,6982.7,-8881.4,78.85,8054.43,4,4,1,30,0.2,0.0,1.0,0.0,0.0,1,1.3333331111111482,3.1072325059538586,8,20,3.0,8.05443,241.6329,241.33451834041998,0.2983816595800306,241.39445106788577,0.23844893211423823
