Z,A,M
24,36,97.895
9,37,108.588
10,37,78.681
11,37,53.424
12,37,29.462
13,37,9.999
14,37,-7.502
15,37,-18.975
16,37,-27.361
17,37,-31.377
18,37,-31.178
19,37,-24.913
20,37,-12.551
21,37,4.122
22,37,25.323
23,37,49.837
24,37,80.675
26,37,151.969
9,38,118.925
10,38,84.821
11,38,60.537
12,38,34.248
13,38,15.913
14,38,-4.802
15,38,-14.836
16,38,-27.225
17,38,-29.616
18,38,-35.013
19,38,-28.959
20,38,-22.191
21,38,-3.912
22,38,11.484
23,38,37.063
24,38,60.538
26,38,127.509
9,39,130.169
10,39,95.686
11,39,66.771
12,39,41.459
13,39,20.397
14,39,0.868
15,39,-12.671
16,39,-23.558
17,39,-30.269
18,39,-33.981
19,39,-33.814
20,39,-27.267
21,39,-14.309
22,39,2.617
23,39,22.690
24,39,47.149
26,39,108.258
10,40,105.055
11,40,76.076
12,40,46.041
13,40,26.134
14,40,3.823
15,40,-8.291
16,40,-22.706
17,40,-27.765
18,40,-35.783
19,40,-33.811
20,40,-35.341
21,40,-20.430
22,40,-8.963
23,40,12.607
24,40,31.393
25,40,59.769
26,40,86.143
10,41,117.091
11,41,85.598
12,41,55.608
13,41,30.575
14,41,9.450
15,41,-5.710
16,41,-18.657
17,41,-27.555
18,41,-33.857
19,41,-36.482
20,41,-36.138
21,41,-29.312
22,41,-15.978
23,41,0.408
24,41,20.610
25,41,43.606
26,41,70.909
28,41,136.937
10,42,127.604
11,42,95.976
12,42,63.453
13,42,38.734
14,42,12.379
15,42,-1.346
16,42,-17.383
17,42,-24.674
18,42,-34.818
19,42,-35.600
20,42,-39.823
21,42,-33.204
22,42,-25.891
23,42,-7.683
24,42,7.191
25,42,31.591
26,42,53.357
28,42,112.973
10,43,140.547
11,43,106.654
12,43,74.104
13,43,46.554
14,43,20.622
15,43,1.374
16,43,-13.205
17,43,-23.897
18,43,-32.385
19,43,-37.290
20,43,-39.606
21,43,-37.816
22,43,-30.718
23,43,-18.284
24,43,-1.668
25,43,17.669
26,43,40.774
27,43,66.325
28,43,96.063
10,44,151.941
11,44,117.863
12,44,83.025
13,44,55.714
14,44,26.957
15,44,8.252
16,44,-11.767
17,44,-20.874
18,44,-32.786
19,44,-35.913
20,44,-42.341
21,44,-38.519
22,44,-38.305
23,44,-24.046
24,44,-13.345
25,44,7.708
26,44,25.613
27,44,52.509
28,44,76.864
11,45,129.446
12,45,94.525
13,45,64.637
14,45,36.223
15,45,14.340
16,45,-5.050
17,45,-19.784
18,45,-30.080
19,45,-36.909
20,45,-41.508
21,45,-42.038
22,45,-39.743
23,45,-32.376
24,45,-19.912
25,45,-4.549
26,45,15.006
27,45,36.965
28,45,62.618
11,46,141.261
12,46,104.288
13,46,74.577
14,46,43.585
15,46,22.185
16,46,-0.380
17,46,-14.299
18,46,-30.160
19,46,-35.259
20,46,-43.565
21,46,-42.134
