Z,A,M
 47, 88,-1.786
 48, 88,15.692
 49, 88,40.616
 50, 88,62.349
 23, 89, 192.906
 24, 89, 157.533
 25, 89, 125.877
 26, 89,95.088
 27, 89,67.749
 28, 89,41.336
 29, 89,19.532
 30, 89,-1.033
 31, 89, -18.409
 32, 89, -34.513
 33, 89, -47.680
 34, 89, -59.531
 35, 89, -68.674
 36, 89, -76.445
 37, 89, -81.717
 38, 89, -85.551
 39, 89, -87.078
 40, 89, -85.235
 41, 89, -80.867
 42, 89, -74.911
 43, 89, -67.036
 44, 89, -57.480
 45, 89, -44.947
 46, 89, -29.427
 47, 89, -12.195
 48, 89, 7.007
 49, 89,27.867
 50, 89,51.345
 24, 90, 167.637
 25, 90, 136.358
 26, 90, 103.857
 27, 90,77.072
 28, 90,48.767
 29, 90,27.655
 30, 90, 4.964
 31, 90, -11.569
 32, 90, -29.996
 33, 90, -42.165
 34, 90, -56.531
 35, 90, -64.520
 36, 90, -74.996
 37, 90, -78.959
 38, 90, -85.690
 39, 90, -85.754
 40, 90, -88.860
 41, 90, -82.688
 42, 90, -79.921
 43, 90, -70.178
 44, 90, -64.036
 45, 90, -50.649
 46, 90, -38.757
 47, 90, -19.599
 48, 90,-4.002
 49, 90,18.631
 50, 90,37.939
 23, 91, 216.172
 24, 91, 179.532
 25, 91, 146.628
 26, 91, 114.542
 27, 91,85.942
 28, 91,58.232
 29, 91,35.091
 30, 91,13.125
 31, 91,-5.634
 32, 91, -23.184
 33, 91, -37.771
 34, 91, -51.104
 35, 91, -61.700
 36, 91, -70.988
 37, 91, -77.745
 38, 91, -83.131
 39, 91, -86.179
 40, 91, -87.784
 41, 91, -86.597
 42, 91, -82.074
 43, 91, -75.621
 44, 91, -67.587
 45, 91, -57.711
 46, 91, -44.968
 47, 91, -29.347
 48, 91, -11.854
 49, 91, 7.269
 50, 91,28.392
 24, 92, 189.890
 25, 92, 157.328
 26, 92, 123.611
 27, 92,95.522
 28, 92,65.998
 29, 92,43.515
 30, 92,19.518
 31, 92, 1.561
 32, 92, -18.214
 33, 92, -31.850
 34, 92, -47.595
 35, 92, -57.089
 36, 92, -68.973
 37, 92, -74.476
 38, 92, -82.642
 39, 92, -84.283
 40, 92, -88.855
 41, 92, -86.174
 42, 92, -86.580
 43, 92, -78.333
 44, 92, -73.580
 45, 92, -61.774
 46, 92, -53.662
 47, 92, -36.075
 48, 92, -22.163
 49, 92,-1.158
 50, 92,16.411
 24, 93, 201.982
 25, 93, 167.875
 26, 93, 134.537
 27, 93, 104.710
 28, 93,75.736
 29, 93,51.319
 30, 93,28.010
 31, 93, 7.923
 32, 93, -11.018
 33, 93, -26.973
 34, 93, -41.735
 35, 93, -53.732
 36, 93, -64.480
 37, 93, -72.667
 38, 93, -79.545
 39, 93, -84.051
 40, 93, -87.181
 41, 93, -87.610
 42, 93, -86.422
 43, 93, -83.231
 44, 93, -76.663
 45, 93, -68.234
 46, 93, -58.167
 47, 93, -45.214
 48, 93, -29.367
 49, 93, -11.852
 50, 93, 7.572
 24, 94, 212.553
 25, 94, 178.760
 26, 94, 143.868
 27, 94, 114.513
 28, 94,83.800
 29, 94,60.010
 30, 94,34.762
 31, 94,15.439
 32, 94,-5.633
 33, 94, -20.682
 34, 94, -37.759
 35, 94, -48.702
 36, 94, -61.946
 37, 94, -68.931
 38, 94, -78.482
 39, 94, -81.638
 40, 94, -87.618
 41, 94, -86.603
 42, 94, -88.447
 43, 94, -83.605
 44, 94, -82.129
 45, 94, -71.847
 46, 94, -65.146
 47, 94, -51.316
 48, 94, -39.030
 49, 94, -19.598
 50, 94,-3.706
 51, 94,21.047
 24, 95, 224.740
 25, 95, 189.545
 26, 95, 154.999
 27, 95, 123.984
 28, 95,93.777
 29, 95,68.146
 30, 95,43.552
 31, 95,22.190
 32, 95, 1.913
 33, 95, -15.361
 34, 95, -31.501
 35, 95, -44.849
 36, 95, -57.008
 37, 95, -66.575
 38, 95, -74.892
 39, 95, -80.804
 40, 95, -85.400
 41, 95, -87.368
 42, 95, -87.678
 43, 95, -85.946
 44, 95, -82.781
 45, 95, -77.742
 46, 95, -69.165
 47, 95, -58.793
 48, 95, -45.633
 49, 95, -29.675
 50, 95, -11.894
 51, 95, 9.471
 52, 95,32.776
 24, 96, 235.584
 25, 96, 200.573
 26, 96, 164.558
 27, 96, 133.978
 28, 96, 102.107
 29, 96,77.073
 30, 96,50.630
 31, 96,29.997
 32, 96, 7.678
 33, 96,-8.731
 34, 96, -27.094
 35, 96, -39.437
 36, 96, -53.995
 37, 96, -62.413
 38, 96, -73.301
 39, 96, -77.918
 40, 96, -85.257
 41, 96, -85.830
 42, 96, -89.057
 43, 96, -85.734
 44, 96, -85.658
 45, 96, -78.875
 46, 96, -75.599
 47, 96, -63.317
 48, 96, -54.695
 49, 96, -36.788
 50, 96, -22.522
 51, 96, 0.786
 52, 96,20.643
 24, 97, 247.947
 25, 97, 211.664
 26, 97, 175.921
 27, 97, 143.696
 28, 97, 112.293
 29, 97,85.508
 30, 97,59.689
 31, 97,37.106
 32, 97,15.544
 33, 97,-3.000
 34, 97, -20.469
 35, 97, -35.125
 36, 97, -48.648
 37, 97, -59.550
 38, 97, -69.258
 39, 97, -76.529
 40, 97, -82.541
 41, 97, -85.980
 42, 97, -87.732
 43, 97, -87.403
 44, 97, -85.699
 45, 97, -82.080
 46, 97, -77.024
 47, 97, -70.214
 48, 97, -59.658
 49, 97, -46.291
 50, 97, -30.106
 51, 97, -10.147
 52, 97,11.610
 24, 98, 258.721
 25, 98, 222.818
 26, 98, 185.784
 27, 98, 153.988
 28, 98, 120.856
 29, 98,94.643
 30, 98,67.062
 31, 98,45.176
 32, 98,21.659
 33, 98, 3.940
 34, 98, -15.664
 35, 98, -29.359
 36, 98, -45.190
 37, 98, -54.994
 38, 98, -67.179
 39, 98, -73.209
 40, 98, -81.863
 41, 98, -83.956
 42, 98, -88.518
 43, 98, -86.658
 44, 98, -87.928
 45, 98, -82.629
 46, 98, -80.712
 47, 98, -72.069
 48, 98, -67.068
 49, 98, -52.809
 50, 98, -40.128
 51, 98, -18.171
 52, 98, 0.179
 53, 98,25.309
 24, 99, 270.964
 25, 99, 233.868
 26, 99, 197.237
 27, 99, 164.039
 28, 99, 131.447
 29, 99, 103.347
 30, 99,76.362
 31, 99,52.613
 32, 99,29.817
 33, 99,10.050
 34, 99,-8.701
 35, 99, -24.621
 36, 99, -39.463
 37, 99, -51.660
 38, 99, -62.716
 39, 99, -71.304
 40, 99, -78.687
 41, 99, -83.535
 42, 99, -86.682
 43, 99, -87.708
 44, 99, -87.414
 45, 99, -85.162
 46, 99, -81.528
 47, 99, -76.097
 48, 99, -69.224
 49, 99, -60.714
 50, 99, -47.143
 51, 99, -28.502
 52, 99,-8.198
 53, 99,13.592
 54, 99,37.242
 24,100, 281.636
 25,100, 244.902
 26,100, 207.056
 27,100, 174.342
 28,100, 140.335
 29,100, 112.814
 30,100,84.003
 31,100,60.920
 32,100,36.254
 33,100,17.276
 34,100,-3.526
 35,100, -18.528
 36,100, -35.593
 37,100, -46.738
 38,100, -60.182
 39,100, -67.582
 40,100, -77.513
 41,100, -81.063
 42,100, -86.921
 43,100, -86.476
 44,100, -89.050
 45,100, -85.179
 46,100, -84.571
 47,100, -77.371
 48,100, -73.684
 49,100, -63.252
 50,100, -56.592
 51,100, -35.904
 52,100, -18.972
 53,100, 4.742
 54,100,24.994
 25,101, 255.880
 26,101, 218.416
 27,101, 184.374
 28,101, 150.875
 29,101, 121.890
 30,101,93.602
 31,101,68.656
 32,101,44.680
 33,101,23.738
 34,101, 3.750
 35,101, -13.392
 36,101, -29.512
 37,101, -42.964
 38,101, -55.329
 39,101, -65.196
 40,101, -73.911
 41,101, -80.113
 42,101, -84.614
 43,101, -86.954
 44,101, -88.024
 45,101, -87.094
 46,101, -84.833
 47,101, -80.729
 48,101, -75.237
 49,101, -68.060
 50,101, -59.439
 51,101, -45.665
 52,101, -26.729
 53,101,-6.324
 54,101,15.810
 24,102, 304.265
 25,102, 266.766
 26,102, 228.163
 27,102, 194.578
 28,102, 159.735
 29,102, 131.399
 30,102, 101.628
 31,102,77.205
 32,102,51.414
 33,102,31.227
 34,102, 9.270
 35,102,-6.995
 36,102, -25.254
 37,102, -37.701
 38,102, -52.369
 39,102, -61.099
 40,102, -72.273
 41,102, -77.223
 42,102, -84.342
 43,102, -85.271
 44,102, -89.111
 45,102, -86.624
 46,102, -87.284
 47,102, -81.476
 48,102, -79.057
 49,102, -70.025
 50,102, -64.632
 51,102, -50.034
 52,102, -36.879
 53,102, -14.503
 54,102, 4.268
 55,102,29.704
 25,103, 277.643
 26,103, 239.404
 27,103, 204.564
 28,103, 170.200
 29,103, 140.488
 30,103, 111.380
 31,103,85.370
 32,103,60.064
 33,103,38.016
 34,103,16.836
 35,103,-1.486
 36,103, -18.843
 37,103, -33.514
 38,103, -47.149
 39,103, -58.262
 40,103, -68.271
 41,103, -75.777
 42,103, -81.595
 43,103, -85.216
 44,103, -87.613
 45,103, -87.968
 46,103, -87.038
 47,103, -84.221
 48,103, -80.062
 49,103, -74.171
 50,103, -66.885
 51,103, -55.719
 52,103, -41.744
 53,103, -24.948
 54,103,-4.249
 55,103,17.887
 56,103,41.816
 24,104, 326.553
 26,104, 249.050
 27,104, 214.647
 28,104, 179.008
 29,104, 149.931
 30,104, 119.426
 31,104,94.141
 32,104,67.233
 33,104,45.683
 34,104,22.678
 35,104, 5.195
 36,104, -14.222
 37,104, -27.931
 38,104, -43.789
 39,104, -53.812
 40,104, -66.199
 41,104, -72.496
 42,104, -80.846
 43,104, -83.113
 44,104, -88.189
 45,104, -87.048
 46,104, -88.943
 47,104, -84.485
 48,104, -83.296
 49,104, -75.615
 50,104, -71.445
 51,104, -58.466
 52,104, -48.930
 53,104, -30.311
 54,104, -15.119
 55,104, 8.916
 56,104,29.490
 25,105, 299.103
 26,105, 260.147
 27,105, 224.561
 28,105, 189.376
 29,105, 159.010
 30,105, 129.152
 31,105, 102.364
 32,105,76.197
 33,105,52.947
 34,105,30.419
 35,105,11.054
 36,105,-7.501
 37,105, -23.354
 38,105, -38.225
 39,105, -50.550
 40,105, -61.821
 41,105, -70.582
 42,105, -77.687
 43,105, -82.558
 44,105, -86.250
 45,105, -87.858
 46,105, -88.226
 47,105, -86.661
 48,105, -83.798
 49,105, -79.153
 50,105, -73.159
 51,105, -63.478
 52,105, -52.105
 53,105, -37.929
 54,105, -20.940
 55,105,-2.235
 56,105,20.198
 26,106, 269.669
 27,106, 234.501
 28,106, 198.109
 29,106, 168.369
 30,106, 137.197
 31,106, 111.116
 32,106,83.428
 33,106,60.978
 34,106,36.739
 35,106,17.879
 36,106,-2.538
 37,106, -17.470
 38,106, -34.485
 39,106, -45.768
 40,106, -59.337
 41,106, -66.933
 42,106, -76.488
 43,106, -80.061
 44,106, -86.345
 45,106, -86.518
 46,106, -89.620
 47,106, -86.478
 48,106, -86.489
 49,106, -80.122
 50,106, -77.140
 51,106, -65.694
 52,106, -57.608
 53,106, -42.568
 54,106, -29.053
 55,106,-8.569
 56,106, 8.589
 57,106,34.260
 26,107, 280.599
 27,107, 244.319
 28,107, 208.359
 29,107, 177.415
 30,107, 146.878
 31,107, 119.376
 32,107,92.407
 33,107,68.338
 34,107,44.915
 35,107,24.252
 36,107, 4.336
 37,107, -12.523
 38,107, -28.595
 39,107, -42.101
 40,107, -54.603
 41,107, -64.575
 42,107, -72.937
 43,107, -79.033
 44,107, -83.991
 45,107, -86.827
 46,107, -88.464
 47,107, -88.123
 48,107, -86.526
 49,107, -83.097
 50,107, -78.360
 51,107, -70.089
 52,107, -60.216
 53,107, -48.539
 54,107, -34.163
 55,107, -17.080
 56,107, 1.830
 57,107,22.383
 58,107,46.526
 26,108, 289.972
 27,108, 254.094
 28,108, 216.995
 29,108, 186.670
 30,108, 154.902
 31,108, 128.091
 32,108,99.681
 33,108,76.388
 34,108,51.331
 35,108,31.540
 36,108, 9.813
 37,108,-6.506
 38,108, -24.496
 39,108, -37.004
 40,108, -51.728
 41,108, -60.576
 42,108, -71.311
 43,108, -76.162
 44,108, -83.633
 45,108, -85.092
 46,108, -89.379
 47,108, -87.524
 48,108, -88.711
 49,108, -83.626
 50,108, -81.807
 51,108, -71.820
 52,108, -65.112
 53,108, -51.616
 54,108, -41.580
 55,108, -22.664
 56,108,-7.192
 57,108,15.099
 58,108,34.160
 27,109, 263.794
 28,109, 227.107
 29,109, 195.664
 30,109, 164.520
 31,109, 136.369
 32,109, 108.660
 33,109,83.826
 34,109,59.559
 35,109,38.042
 36,109,17.204
 37,109,-1.013
 38,109, -18.451
 39,109, -32.953
 40,109, -46.656
 41,109, -57.795
 42,109, -67.389
 43,109, -74.684
 44,109, -80.885
 45,109, -84.927
 46,109, -87.808
 47,109, -88.669
 48,109, -88.312
 49,109, -86.077
 50,109, -82.568
 51,109, -75.643
 52,109, -67.198
 53,109, -56.942
 54,109, -45.065
 55,109, -30.491
 56,109, -13.213
 57,109, 5.711
 58,109,26.484
 27,110, 276.455
 28,110, 235.626
 29,110, 204.798
 30,110, 172.504
 31,110, 145.032
 32,110, 115.960
 33,110,91.881
 34,110,66.056
 35,110,45.382
 36,110,22.808
 37,110, 5.533
 38,110, -13.809
 39,110, -27.708
 40,110, -43.407
 41,110, -53.461
 42,110, -65.354
 43,110, -71.458
 44,110, -80.096
 45,110, -82.817
 46,110, -88.270
 47,110, -87.677
 48,110, -90.022
 49,110, -86.194
 50,110, -85.517
 51,110, -76.925
 52,110, -71.532
 53,110, -59.507
 54,110, -50.858
 55,110, -35.387
 56,110, -21.511
 57,110,-0.798
 58,110,16.571
 59,110,40.616
 27,111, 289.357
 28,111, 248.772
 29,111, 213.720
 30,111, 182.044
 31,111, 153.311
 32,111, 124.924
 33,111,99.380
 34,111,74.322
 35,111,51.997
 36,111,30.280
 37,111,11.182
 38,111,-7.200
 39,111, -23.084
 40,111, -38.154
 41,111, -50.275
 42,111, -61.075
 43,111, -69.550
 44,111, -76.972
 45,111, -82.199
 46,111, -86.305
 47,111, -88.351
 48,111, -89.213
 49,111, -88.151
 50,111, -85.851
 51,111, -80.213
 52,111, -73.134
 53,111, -64.235
 54,111, -53.796
 55,111, -41.627
 56,111, -26.856
 57,111,-9.476
 58,111, 9.657
 59,111,30.368
 28,112, 260.601
 29,112, 225.735
 30,112, 189.972
 31,112, 161.907
 32,112, 132.234
 33,112, 107.427
 34,112,80.885
 35,112,59.378
 36,112,35.996
 37,112,17.807
 38,112,-2.407
 39,112, -17.281
 40,112, -34.339
 41,112, -45.832
 42,112, -58.649
 43,112, -65.982
 44,112, -75.769
 45,112, -79.731
 46,112, -86.334
 47,112, -86.985
 48,112, -90.472
 49,112, -87.881
 50,112, -88.331
 51,112, -81.075
 52,112, -76.942
 53,112, -66.325
 54,112, -59.001
 55,112, -45.012
 56,112, -34.489
 57,112, -15.273
 58,112, 0.492
 59,112,22.953
 60,112,42.166
 29,113, 237.822
 30,113, 202.280
 31,113, 170.171
 32,113, 141.171
 33,113, 114.974
 34,113,89.178
 35,113,66.092
 36,113,43.540
 37,113,23.598
 38,113, 4.309
 39,113, -12.479
 40,113, -28.509
 41,113, -42.041
 42,113, -54.213
 43,113, -63.661
 44,113, -72.284
 45,113, -78.680
 46,113, -83.993
 47,113, -87.207
 48,113, -89.272
 49,113, -89.370
 50,113, -88.262
 51,113, -83.859
 52,113, -78.090
 53,113, -70.491
 54,113, -61.430
 55,113, -50.628
 56,113, -38.264
 57,113, -23.298
 58,113,-5.721
 59,113,13.439
 60,113,34.378
 29,114, 250.158
 30,114, 213.221
 31,114, 181.414
 32,114, 148.477
 33,114, 123.002
 34,114,95.794
 35,114,73.503
 36,114,49.356
 37,114,30.294
 38,114, 9.241
 39,114,-6.573
 40,114, -24.523
 41,114, -36.946
 42,114, -51.191
 43,114, -59.914
 44,114, -70.683
 45,114, -75.867
 46,114, -83.607
 47,114, -85.483
 48,114, -90.101
 49,114, -88.731
 50,114, -90.298
 51,114, -84.325
 52,114, -81.402
 53,114, -72.135
 54,114, -66.084
 55,114, -53.513
 56,114, -44.326
 57,114, -28.434
 58,114, -14.196
 59,114, 6.760
 60,114,24.363
 61,114,48.529
 30,115, 225.860
 31,115, 192.579
 32,115, 159.978
 33,115, 130.582
 34,115, 104.101
 35,115,80.303
 36,115,56.962
 37,115,36.215
 38,115,16.055
 39,115,-1.605
 40,115, -18.566
 41,115, -32.950
 42,115, -46.106
 43,115, -56.975
 44,115, -66.956
 45,115, -74.397
 46,115, -80.902
 47,115, -85.271
 48,115, -88.527
 49,115, -89.773
 50,115, -89.844
 51,115, -86.631
 52,115, -82.120
 53,115, -75.771
 54,115, -68.033
 55,115, -58.543
 56,115, -47.568
 57,115, -34.922
 58,115, -19.761
 59,115,-2.078
 60,115,17.297
 61,115,38.194
 62,115,60.894
 30,116, 237.148
 31,116, 204.138
 32,116, 170.064
 33,116, 141.080
 34,116, 110.759
 35,116,87.734
 36,116,62.867
 37,116,42.973
 38,116,21.116
 39,116, 4.395
 40,116, -14.419
 41,116, -27.726
 42,116, -42.889
 43,116, -52.624
 44,116, -64.750
 45,116, -71.309
 46,116, -80.115
 47,116, -83.203
 48,116, -88.942
 49,116, -88.781
 50,116, -91.455
 51,116, -86.717
 52,116, -84.962
 53,116, -76.993
 54,116, -72.166
 55,116, -60.959
 56,116, -53.054
 57,116, -38.592
 58,116, -27.595
 59,116,-8.075
 60,116, 7.994
 61,116,30.650
 62,116,50.046
 30,117, 250.095
 31,117, 215.661
 32,117, 181.890
 33,117, 151.360
 34,117, 121.484
 35,117,94.611
 36,117,70.525
 37,117,49.015
 38,117,28.021
 39,117, 9.520
 40,117,-8.341
 41,117, -23.534
 42,117, -37.651
 43,117, -49.467
 44,117, -60.440
 45,117, -69.214
 46,117, -77.059
 47,117, -82.572
 48,117, -87.006
 49,117, -89.391
 50,117, -90.632
 51,117, -88.565
 52,117, -85.269
 53,117, -80.125
 54,117, -73.661
 55,117, -65.434
 56,117, -55.793
 57,117, -44.471
 58,117, -31.638
 59,117, -16.283
 60,117, 1.599
 61,117,21.013
 62,117,42.144
 30,118, 261.708
 31,118, 227.515
 32,118, 192.321
 33,118, 162.169
 34,118, 130.748
 35,118, 104.392
 36,118,76.511
 37,118,55.827
 38,118,33.202
 39,118,15.609
 40,118,-4.042
 41,118, -18.186
 42,118, -34.247
 43,118, -44.973
 44,118, -58.028
 45,118, -65.604
 46,118, -75.662
 47,118, -80.104
 48,118, -87.021
 49,118, -88.057
 50,118, -91.834
 51,118, -88.287
 52,118, -87.658
 53,118, -80.942
 54,118, -77.298
 55,118, -67.403
 56,118, -60.735
 57,118, -47.648
 58,118, -37.944
 59,118, -21.642
 60,118,-7.041
 61,118,14.171
 62,118,32.028
 63,118,56.347
 31,119, 239.375
 32,119, 204.454
 33,119, 172.804
 34,119, 141.794
 35,119, 113.823
 36,119,86.491
 37,119,61.980
 38,119,40.190
 39,119,20.882
 40,119, 2.151
 41,119, -13.807
 42,119, -28.862
 43,119, -41.606
 44,119, -53.555
 45,119, -63.284
 46,119, -72.124
 47,119, -78.845
 48,119, -84.597
 49,119, -88.250
 50,119, -90.654
 51,119, -89.693
 52,119, -87.570
 53,119, -83.590
 54,119, -78.357
 55,119, -71.350
 56,119, -62.997
 57,119, -52.950
 58,119, -41.462
 59,119, -28.357
 60,119, -12.811
 61,119, 5.183
 62,119,24.816
 63,119,45.924
 32,120, 215.208
 33,120, 183.906
 34,120, 151.399
 35,120, 123.910
 36,120,94.968
 37,120,71.074
 38,120,45.485
 39,120,27.055
 40,120, 6.596
 41,120,-8.339
 42,120, -25.278
 43,120, -36.974
 44,120, -50.944
 45,120, -59.524
 46,120, -70.516
 47,120, -75.977
 48,120, -84.003
 49,120, -86.367
 50,120, -91.459
 51,120, -89.062
 52,120, -89.523
 53,120, -84.017
 54,120, -81.517
 55,120, -72.891
 56,120, -67.420
 57,120, -55.659
 58,120, -47.202
 59,120, -32.286
 60,120, -20.827
 61,120,-1.000
 62,120,15.383
 63,120,38.253
 64,120,57.861
 33,121, 194.877
 34,121, 162.748
 35,121, 133.694
 36,121, 105.264
 37,121,79.694
 38,121,54.753
 39,121,32.469
 40,121,12.898
 41,121,-3.779
 42,121, -19.751
 43,121, -33.405
 44,121, -46.312
 45,121, -56.984
 46,121, -66.809
 47,121, -74.490
 48,121, -81.235
 49,121, -85.937
 50,121, -89.630
 51,121, -90.039
 52,121, -89.049
 53,121, -86.197
 54,121, -82.155
 55,121, -76.330
 56,121, -69.223
 57,121, -60.410
 58,121, -50.222
 59,121, -38.460
 60,121, -25.384
 61,121,-9.646
 62,121, 8.758
 63,121,28.499
 64,121,49.847
 34,122, 172.676
 35,122, 144.070
 36,122, 114.077
 37,122,89.087
 38,122,62.475
 39,122,40.904
 40,122,17.483
 41,122, 1.804
 42,122, -15.991
 43,122, -28.637
 44,122, -43.508
 45,122, -53.076
 46,122, -64.995
 47,122, -71.467
 48,122, -80.429
 49,122, -83.809
 50,122, -89.832
 51,122, -88.845
 52,122, -90.578
 53,122, -86.245
 54,122, -84.853
 55,122, -77.457
 56,122, -73.145
 57,122, -62.669
 58,122, -55.421
 59,122, -42.066
 60,122, -32.167
 61,122, -15.566
 62,122,-0.501
 63,122,21.281
 64,122,39.633
 65,122,64.133
 34,123, 184.312
 35,123, 154.188
 36,123, 124.673
 37,123,98.055
 38,123,72.053
 39,123,48.749
 40,123,26.071
 41,123, 6.539
 42,123, -10.324
 43,123, -24.870
 44,123, -38.720
 45,123, -50.323
 46,123, -61.123
 47,123, -69.755
 48,123, -77.491
 49,123, -83.150
 50,123, -87.832
 51,123, -89.181
 52,123, -89.588
 53,123, -87.968
 54,123, -85.082
 55,123, -80.403
 56,123, -74.505
 57,123, -66.889
 58,123, -57.961
 59,123, -47.730
 60,123, -36.135
 61,123, -22.777
 62,123,-6.850
 63,123,11.653
 64,123,31.940
 65,123,53.624
 34,124, 194.547
 35,124, 164.837
 36,124, 133.806
 37,124, 107.732
 38,124,80.107
 39,124,57.477
 40,124,33.073
 41,124,14.271
 42,124,-6.393
 43,124, -19.969
 44,124, -35.727
 45,124, -46.269
 46,124, -59.107
 47,124, -66.580
 48,124, -76.475
 49,124, -80.868
 50,124, -87.824
 51,124, -87.726
 52,124, -90.474
 53,124, -87.576
 54,124, -87.329
 55,124, -81.127
 56,124, -77.942
 57,124, -68.712
 58,124, -62.639
 59,124, -50.775
 60,124, -42.247
 61,124, -27.169
 62,124, -15.353
 63,124, 4.876
 64,124,21.857
 65,124,45.415
 66,124,65.677
 34,125, 206.454
 35,125, 175.273
 36,125, 144.686
 37,125, 117.031
 38,125,89.979
 39,125,65.664
 40,125,41.963
 41,125,21.306
 42,125, 1.475
 43,125, -16.007
 44,125, -30.784
 45,125, -43.306
 46,125, -55.069
 47,125, -64.649
 48,125, -73.368
 49,125, -79.986
 50,125, -85.656
 51,125, -87.819
 52,125, -89.109
 53,125, -88.620
 54,125, -87.154
 55,125, -83.592
 56,125, -78.869
 57,125, -72.417
 58,125, -64.715
 59,125, -55.805
 60,125, -45.612
 61,125, -33.667
 62,125, -20.114
 63,125,-3.998
 64,125,14.689
 65,125,35.002
 66,125,57.102
 34,126, 216.979
 35,126, 186.182
 36,126, 154.125
 37,126, 126.980
 38,126,98.350
 39,126,74.672
 40,126,49.291
 41,126,29.331
 42,126, 7.724
 43,126,-8.865
 44,126, -27.603
 45,126, -39.106
 46,126, -52.854
 47,126, -61.321
 48,126, -72.148
 49,126, -77.550
 50,126, -85.442
 51,126, -86.195
 52,126, -89.751
 53,126, -87.777
 54,126, -88.722
 55,126, -83.977
 56,126, -81.833
 57,126, -73.815
 58,126, -68.885
 59,126, -58.318
 60,126, -51.086
 61,126, -37.454
 62,126, -27.026
 63,126, -10.014
 64,126, 5.397
 65,126,27.404
 66,126,46.234
 67,126,71.503
 35,127, 196.921
 36,127, 165.276
 37,127, 136.595
 38,127, 108.504
 39,127,83.185
 40,127,58.470
 41,127,36.708
 42,127,15.893
 43,127,-2.526
 44,127, -20.340
 45,127, -35.935
 46,127, -48.653
 47,127, -59.172
 48,127, -68.872
 49,127, -76.446
 50,127, -83.106
 51,127, -86.047
 52,127, -88.185
 53,127, -88.546
 54,127, -87.996
 55,127, -85.728
 56,127, -82.447
 57,127, -77.017
 58,127, -70.508
 59,127, -62.743
 60,127, -53.878
 61,127, -43.273
 62,127, -31.144
 63,127, -17.320
 64,127,-1.015
 65,127,17.776
 66,127,38.282
 67,127,60.343
 34,128, 239.946
 35,128, 208.078
 36,128, 175.007
 37,128, 146.802
 38,128, 117.178
 39,128,92.459
 40,128,66.109
 41,128,45.013
 42,128,22.467
 43,128, 4.899
 44,128, -14.735
 45,128, -29.348
 46,128, -46.239
 47,128, -55.691
 48,128, -67.447
 49,128, -73.856
 50,128, -82.687
 51,128, -84.253
 52,128, -88.586
 53,128, -87.502
 54,128, -89.290
 55,128, -85.501
 56,128, -84.697
 57,128, -78.156
 58,128, -74.183
 59,128, -64.750
 60,128, -58.744
 61,128, -46.484
 62,128, -37.377
 63,128, -21.829
 64,128,-9.556
 65,128,10.968
 66,128,28.231
 67,128,51.960
 68,128,72.574
 35,129, 219.106
 36,129, 186.417
 37,129, 156.721
 38,129, 127.599
 39,129, 101.287
 40,129,75.565
 41,129,52.719
 42,129,30.925
 43,129,11.572
 44,129,-7.180
 45,129, -23.666
 46,129, -39.544
 47,129, -53.326
 48,129, -64.001
 49,129, -72.532
 50,129, -80.182
 51,129, -83.867
 52,129, -86.818
 53,129, -87.998
 54,129, -88.332
 55,129, -86.948
 56,129, -84.612
 57,129, -80.614
 58,129, -75.563
 59,129, -68.600
 60,129, -60.990
 61,129, -51.655
 62,129, -40.882
 63,129, -28.420
 64,129, -14.407
 65,129, 2.084
 66,129,21.061
 67,129,41.607
 68,129,63.872
 34,130, 263.423
 35,130, 230.499
 36,130, 196.426
 37,130, 167.175
 38,130, 136.564
 39,130, 110.816
 40,130,83.503
 41,130,61.291
 42,130,37.810
 43,130,19.268
 44,130,-1.260
 45,130, -16.807
 46,130, -34.546
 47,130, -47.259
 48,130, -62.371
 49,130, -69.785
 50,130, -79.558
 51,130, -81.902
 52,130, -86.979
 53,130, -86.751
 54,130, -89.354
 55,130, -86.490
 56,130, -86.561
 57,130, -81.005
 58,130, -78.496
 59,130, -70.201
 60,130, -65.277
 61,130, -54.319
 62,130, -46.469
 63,130, -32.319
 64,130, -21.384
 65,130,-3.972
 66,130,11.787
 67,130,34.035
 68,130,53.093
 69,130,78.488
 35,131, 241.805
 36,131, 208.084
 37,131, 177.384
 38,131, 147.245
 39,131, 119.945
 40,131,93.224
 41,131,69.313
 42,131,46.545
 43,131,26.261
 44,131, 6.573
 45,131, -10.802
 46,131, -27.572
 47,131, -42.195
 48,131, -56.208
 49,131, -68.240
 50,131, -76.882
 51,131, -81.276
 52,131, -85.007
 53,131, -86.975
 54,131, -88.162
 55,131, -87.634
 56,131, -86.216
 57,131, -83.132
 58,131, -79.054
 59,131, -73.364
 60,131, -66.580
 61,131, -58.873
 62,131, -49.390
 63,131, -38.227
 64,131, -25.591
 65,131, -11.317
 66,131, 5.360
 67,131,24.447
 68,131,45.191
 69,131,67.438
 34,132, 287.386
 35,132, 253.423
 36,132, 218.362
 37,132, 188.077
 38,132, 156.489
 39,132, 129.720
 40,132, 101.450
 41,132,78.144
 42,132,53.731
 43,132,34.218
 44,132,12.796
 45,132,-3.682
 46,132, -22.270
 47,132, -35.870
 48,132, -51.779
 49,132, -62.659
 50,132, -76.052
 51,132, -79.136
 52,132, -84.927
 53,132, -85.523
 54,132, -88.913
 55,132, -86.944
 56,132, -87.865
 57,132, -83.267
 58,132, -81.662
