Z,N,BE
87,134,1702.18
87,135,1707.19
87,136,1713.22
87,137,1717.98
87,138,1723.73
87,139,1728.29
87,140,1733.98
87,141,1738.73
87,142,1744.29
87,143,1748.63
87,144,1754.0
87,145,1758.31
87,146,1763.45
87,147,1767.48
87,148,1772.44
87,149,1776.25
87,150,1780.97
87,151,1784.53
87,152,1788.93
87,153,1791.93
87,154,1795.94
87,155,1798.66
87,156,1802.53
87,157,1805.42
87,158,1809.23
87,159,1811.99
87,160,1815.74
87,161,1818.45
87,162,1822.04
87,163,1824.41
87,164,1827.65
87,165,1829.69
87,166,1832.98
87,167,1835.3
87,168,1838.61
87,169,1840.85
87,170,1843.92
87,171,1845.86
87,172,1848.8
87,173,1850.53
87,174,1853.18
87,175,1854.82
87,176,1857.3
87,177,1858.75
87,178,1860.95
87,179,1862.09
87,180,1863.93
87,181,1864.87
87,182,1866.82
87,183,1867.75
87,184,1869.27
87,185,1868.61
87,186,1869.43
87,187,1868.54
87,188,1869.18
87,189,1869.11
87,190,1869.95
87,191,1869.99
87,192,1870.65
87,193,1870.15
87,194,1870.47
87,195,1869.98
87,196,1870.36
87,197,1869.53
87,198,1869.82
87,199,1868.93
87,200,1869.32
87,201,1868.57
87,202,1868.88
88,104,1449.33
88,105,1459.3
88,106,1470.97
88,107,1480.45
88,108,1491.84
88,109,1500.96
88,110,1512.17
88,111,1521.38
88,112,1532.33
88,113,1541.24
88,114,1551.88
88,115,1560.56
88,116,1571.04
88,117,1579.53
88,118,1589.89
88,119,1598.17
88,120,1608.11
88,121,1616.21
88,122,1625.8
88,123,1633.51
88,124,1642.66
88,125,1650.01
88,126,1658.64
88,127,1664.1
88,128,1671.25
88,129,1676.29
88,130,1683.49
88,131,1689.1
88,132,1696.15
88,133,1701.59
88,134,1708.36
88,135,1713.5
88,136,1720.0
88,137,1724.85
88,138,1731.08
88,139,1735.7
88,140,1742.06
88,141,1746.67
88,142,1752.71
88,143,1757.18
88,144,1762.95
88,145,1767.24
88,146,1772.77
88,147,1776.83
88,148,1782.16
88,149,1785.98
88,150,1791.06
88,151,1794.65
88,152,1799.41
88,153,1802.45
88,154,1806.78
88,155,1809.53
88,156,1813.68
88,157,1816.56
88,158,1820.7
88,159,1823.41
88,160,1827.56
88,161,1830.19
88,162,1834.12
88,163,1836.47
88,164,1840.05
88,165,1842.07
88,166,1845.56
88,167,1847.88
88,168,1851.45
88,169,1853.74
88,170,1857.12
88,171,1859.05
88,172,1862.24
88,173,1863.98
88,174,1866.95
88,175,1868.61
88,176,1871.43
88,177,1872.84
88,178,1875.38
88,179,1876.43
88,180,1878.48
88,181,1879.48
88,182,1881.74
88,183,1882.66
88,184,1884.48
88,185,1883.83
88,186,1884.98
88,187,1884.19
88,188,1885.2
88,189,1885.2
88,190,1886.56
88,191,1886.48
88,192,1887.41
88,193,1886.95
88,194,1887.64
88,195,1887.19
88,196,1887.85
88,197,1887.2
88,198,1887.85
88,199,1886.64
88,200,1887.67
88,201,1886.99
88,202,1887.6
88,203,1887.04
88,204,1887.42
89,106,1468.68
89,107,1478.63
89,108,1489.95
89,109,1499.55
89,110,1510.55
89,111,1520.19
89,112,1531.06
89,113,1540.44
89,114,1551.07
89,115,1560.1
89,116,1570.53
89,117,1579.48
89,118,1589.73
89,119,1598.43
89,120,1608.42
89,121,1616.83
89,122,1626.36
89,123,1634.47
89,124,1643.58
89,125,1651.29
89,126,1659.96
89,127,1665.82
89,128,1673.05
89,129,1678.92
89,130,1686.29
89,131,1692.38
89,132,1699.55
89,133,1705.44
89,134,1712.34
89,135,1717.94
89,136,1724.51
89,137,1729.8
89,138,1736.12
89,139,1741.37
89,140,1747.6
89,141,1752.67
89,142,1758.76
89,143,1763.62
89,144,1769.41
89,145,1774.08
89,146,1779.67
89,147,1784.09
89,148,1789.41
89,149,1793.6
89,150,1798.68
89,151,1802.63
89,152,1807.39
89,153,1810.79
89,154,1815.12
89,155,1818.18
89,156,1822.33
89,157,1825.56
89,158,1829.73
89,159,1832.71
89,160,1836.77
89,161,1839.85
89,162,1843.72
89,163,1846.39
89,164,1849.95
89,165,1852.34
89,166,1855.7
89,167,1858.35
89,168,1861.9
89,169,1864.59
89,170,1867.99
89,171,1870.29
89,172,1873.38
89,173,1875.41
89,174,1878.28
89,175,1880.33
89,176,1883.14
89,177,1884.88
89,178,1887.39
89,179,1888.76
89,180,1890.75
89,181,1892.07
89,182,1894.32
89,183,1895.54
89,184,1897.37
89,185,1897.06
89,186,1898.2
89,187,1897.73
89,188,1898.92
89,189,1899.45
89,190,1900.7
89,191,1900.92
89,192,1901.87
89,193,1901.71
89,194,1902.58
89,195,1902.38
89,196,1902.86
89,197,1902.67
89,198,1903.4
89,199,1902.86
89,200,1903.57
89,201,1903.29
89,202,1904.31
89,203,1903.99
89,204,1904.24
89,205,1903.82
89,206,1904.15
90,108,1489.8
90,109,1499.41
90,110,1510.69
90,111,1520.21
90,112,1531.42
90,113,1540.85
90,114,1551.86
90,115,1560.96
90,116,1571.66
90,117,1580.65
90,118,1591.22
90,119,1600.0
90,120,1610.37
90,121,1618.8
90,122,1628.74
90,123,1636.87
90,124,1646.39
90,125,1654.05
90,126,1663.12
90,127,1669.03
90,128,1676.67
90,129,1682.71
90,130,1690.5
90,131,1696.66
90,132,1704.25
90,133,1710.23
90,134,1717.59
90,135,1723.29
90,136,1730.3
90,137,1735.7
90,138,1742.56
90,139,1747.86
90,140,1754.63
90,141,1759.79
90,142,1766.38
90,143,1771.26
90,144,1777.43
90,145,1782.14
90,146,1788.06
90,147,1792.55
90,148,1798.22
90,149,1802.44
90,150,1807.89
90,151,1811.87
90,152,1817.0
90,153,1820.41
90,154,1825.11
90,155,1828.19
90,156,1832.7
90,157,1835.84
90,158,1840.38
90,159,1843.4
90,160,1847.74
90,161,1850.85
90,162,1855.12
90,163,1857.67
90,164,1861.54
90,165,1864.07
90,166,1867.54
90,167,1870.05
90,168,1874.04
90,169,1876.59
90,170,1880.34
90,171,1882.63
90,172,1886.01
90,173,1888.08
90,174,1891.28
90,175,1893.29
90,176,1896.44
90,177,1898.17
90,178,1900.99
90,179,1902.3
90,180,1904.67
90,181,1905.94
90,182,1908.5
90,183,1909.7
90,184,1911.83
90,185,1911.5
90,186,1913.0
90,187,1912.68
90,188,1914.18
90,189,1914.73
90,190,1916.31
90,191,1916.58
90,192,1917.87
90,193,1917.71
90,194,1918.59
90,195,1918.62
90,196,1919.87
90,197,1919.67
90,198,1920.69
90,199,1920.35
90,200,1921.07
90,201,1920.97
90,202,1922.2
90,203,1921.73
90,204,1922.49
90,205,1922.08
90,206,1922.79
90,207,1922.11
90,208,1922.69
90,209,1921.9
91,109,1497.32
91,110,1508.72
91,111,1518.46
91,112,1529.59
91,113,1539.35
91,114,1550.39
91,115,1559.88
91,116,1570.6
91,117,1579.83
91,118,1590.52
91,119,1599.51
91,120,1609.91
91,121,1618.63
91,122,1628.59
91,123,1637.09
91,124,1646.54
91,125,1654.59
91,126,1663.7
91,127,1670.03
91,128,1677.79
91,129,1684.56
91,130,1692.45
91,131,1699.07
91,132,1706.74
91,133,1713.2
91,134,1720.66
91,135,1726.77
91,136,1733.87
91,137,1739.77
91,138,1746.76
91,139,1752.55
91,140,1759.34
91,141,1764.91
91,142,1771.57
91,143,1776.82
91,144,1783.12
91,145,1788.13
91,146,1794.14
91,147,1798.95
91,148,1804.64
91,149,1809.22
91,150,1814.69
91,151,1819.02
91,152,1824.16
91,153,1827.92
91,154,1832.7
91,155,1836.05
91,156,1840.59
91,157,1844.04
91,158,1848.56
91,159,1851.93
91,160,1856.29
91,161,1859.7
91,162,1863.95
91,163,1866.82
91,164,1870.67
91,165,1873.5
91,166,1877.15
91,167,1879.75
91,168,1883.67
91,169,1886.5
91,170,1890.31
91,171,1892.94
91,172,1896.28
91,173,1898.62
91,174,1901.85
91,175,1904.18
91,176,1907.27
91,177,1909.39
91,178,1912.2
91,179,1913.76
91,180,1916.08
91,181,1917.76
91,182,1920.22
91,183,1921.73
91,184,1923.85
91,185,1923.85
91,186,1925.35
91,187,1925.54
91,188,1927.1
91,189,1928.02
91,190,1929.63
91,191,1930.21
91,192,1931.51
91,193,1931.56
91,194,1932.99
91,195,1933.33
91,196,1934.58
91,197,1934.68
91,198,1935.59
91,199,1935.63
91,200,1936.7
91,201,1936.43
91,202,1937.3
91,203,1937.62
91,204,1938.43
91,205,1938.31
91,206,1939.03
91,207,1938.66
91,208,1939.24
91,209,1938.75
91,210,1939.38
91,211,1938.59
92,111,1517.95
92,112,1529.38
92,113,1539.11
92,114,1550.48
92,115,1560.0
92,116,1571.09
92,117,1580.29
92,118,1591.36
92,119,1600.46
92,120,1611.16
92,121,1619.91
92,122,1630.22
92,123,1638.78
92,124,1648.69
92,125,1656.66
92,126,1666.17
92,127,1672.54
92,128,1680.79
92,129,1687.55
92,130,1695.82
92,131,1702.49
92,132,1710.56
92,133,1717.06
92,134,1724.94
92,135,1731.15
92,136,1738.76
92,137,1744.9
92,138,1752.42
92,139,1758.28
92,140,1765.57
92,141,1771.21
92,142,1778.27
92,143,1783.57
92,144,1790.23
92,145,1795.25
92,146,1801.64
92,147,1806.54
92,148,1812.62
92,149,1817.23
92,150,1823.01
92,151,1827.38
92,152,1832.9
92,153,1836.68
92,154,1841.82
92,155,1845.26
92,156,1850.14
92,157,1853.55
92,158,1858.39
92,159,1861.77
92,160,1866.65
92,161,1869.94
92,162,1874.51
92,163,1877.44
92,164,1881.5
92,165,1884.27
92,166,1888.28
92,167,1890.92
92,168,1895.01
92,169,1897.76
92,170,1901.86
92,171,1904.49
92,172,1908.23
92,173,1910.58
92,174,1914.08
92,175,1916.38
92,176,1919.85
92,177,1921.92
92,178,1925.04
92,179,1926.6
92,180,1929.23
92,181,1930.84
92,182,1933.7
92,183,1935.19
92,184,1937.62
92,185,1937.59
92,186,1939.44
92,187,1939.71
92,188,1941.74
92,189,1942.53
92,190,1944.43
92,191,1945.02
92,192,1946.49
92,193,1947.03
92,194,1948.67
92,195,1949.09
92,196,1950.6
92,197,1950.51
92,198,1952.02
92,199,1952.12
92,200,1953.25
92,201,1953.29
92,202,1954.5
92,203,1954.65
92,204,1955.87
92,205,1955.69
92,206,1956.8
92,207,1956.47
92,208,1957.27
92,209,1957.05
92,210,1957.72
92,211,1956.94
92,212,1957.37
92,213,1956.46
93,113,1536.87
93,114,1548.26
93,115,1558.16
93,116,1569.26
93,117,1578.83
93,118,1589.84
93,119,1599.27
93,120,1609.92
93,121,1619.02
93,122,1629.38
93,123,1638.3
93,124,1648.16
93,125,1656.43
93,126,1665.98
93,127,1672.95
93,128,1681.35
93,129,1688.56
93,130,1696.91
93,131,1703.94
93,132,1712.05
93,133,1718.99
93,134,1726.97
93,135,1733.63
93,136,1741.58
93,137,1748.14
93,138,1755.76
93,139,1762.06
93,140,1769.44
93,141,1775.56
93,142,1782.64
93,143,1788.3
93,144,1795.01
93,145,1800.41
93,146,1806.84
93,147,1812.09
93,148,1818.2
93,149,1823.17
93,150,1828.99
93,151,1833.77
93,152,1839.26
93,153,1843.41
93,154,1848.54
93,155,1852.35
93,156,1857.26
93,157,1860.98
93,158,1865.78
93,159,1869.45
93,160,1874.28
93,161,1877.99
93,162,1882.57
93,163,1885.82
93,164,1889.86
93,165,1892.94
93,166,1897.04
93,167,1899.94
93,168,1903.95
93,169,1907.0
93,170,1910.98
93,171,1913.97
93,172,1917.72
93,173,1920.34
93,174,1923.88
93,175,1926.44
93,176,1929.97
93,177,1932.33
93,178,1935.47
93,179,1937.29
93,180,1940.03
93,181,1941.81
93,182,1944.5
93,183,1946.31
93,184,1948.74
93,185,1949.18
93,186,1950.97
93,187,1951.78
93,188,1953.88
93,189,1955.02
93,190,1956.77
93,191,1957.72
93,192,1959.65
93,193,1960.49
93,194,1962.12
93,195,1962.87
93,196,1964.22
93,197,1964.69
93,198,1966.26
93,199,1966.46
93,200,1967.89
93,201,1968.19
93,202,1969.44
93,203,1969.78
93,204,1971.02
93,205,1971.12
93,206,1972.18
93,207,1972.23
93,208,1973.06
93,209,1973.1
93,210,1973.78
93,211,1973.33
93,212,1973.72
93,213,1973.09
93,214,1973.35
93,215,1972.7
94,115,1557.73
94,116,1569.07
94,117,1578.75
94,118,1590.01
94,119,1599.3
94,120,1610.47
94,121,1619.59
94,122,1630.34
94,123,1639.28
94,124,1649.55
94,125,1657.88
94,126,1667.81
94,127,1674.83
94,128,1683.6
94,129,1690.78
94,130,1699.51
94,131,1706.55
94,132,1715.08
94,133,1722.08
94,134,1730.41
94,135,1737.21
94,136,1745.62
94,137,1752.25
94,138,1760.3
94,139,1766.7
94,140,1774.57
94,141,1780.64
94,142,1788.18
94,143,1793.95
94,144,1801.04
94,145,1806.57
94,146,1813.42
94,147,1818.69
94,148,1825.17
94,149,1830.2
94,150,1836.47
94,151,1841.26
94,152,1847.13
94,153,1851.3
94,154,1856.81
94,155,1860.69
94,156,1865.97
94,157,1869.72
94,158,1874.84
94,159,1878.67
94,160,1883.8
94,161,1887.43
94,162,1892.35
94,163,1895.59
94,164,1900.03
94,165,1902.98
94,166,1907.38
94,167,1910.31
94,168,1914.55
94,169,1917.57
94,170,1921.81
94,171,1924.74
94,172,1928.82
94,173,1931.46
94,174,1935.32
94,175,1937.9
94,176,1941.76
94,177,1944.15
94,178,1947.61
94,179,1949.41
94,180,1952.3
94,181,1954.22
94,182,1957.32
94,183,1959.12
94,184,1961.85
94,185,1962.24
94,186,1964.35
94,187,1965.21
94,188,1967.61
94,189,1968.74
94,190,1970.88
94,191,1971.88
94,192,1974.04
94,193,1974.89
94,194,1976.89
94,195,1977.38
94,196,1979.35
94,197,1980.07
94,198,1981.79
94,199,1982.18
94,200,1983.85
94,201,1984.16
94,202,1985.86
94,203,1986.0
94,204,1987.48
94,205,1987.62
94,206,1988.92
94,207,1988.95
94,208,1990.19
94,209,1990.23
94,210,1991.18
94,211,1990.79
94,212,1991.47
94,213,1990.91
94,214,1991.47
94,215,1990.83
94,216,1991.33
94,217,1990.68
94,218,1991.2
95,117,1576.65
95,118,1587.91
95,119,1597.54
95,120,1608.47
95,121,1617.9
95,122,1628.73
95,123,1638.08
95,124,1648.4
95,125,1656.99
95,126,1666.96
95,127,1674.54
95,128,1683.4
95,129,1690.99
95,130,1699.76
95,131,1707.25
95,132,1715.85
95,133,1723.17
95,134,1731.77
95,135,1739.08
95,136,1747.54
95,137,1754.55
95,138,1762.8
95,139,1769.55
95,140,1777.48
95,141,1783.96
95,142,1791.54
95,143,1797.74
95,144,1804.91
95,145,1810.87
95,146,1817.73
95,147,1823.36
95,148,1829.92
95,149,1835.3
95,150,1841.6
95,151,1846.74
95,152,1852.7
95,153,1857.16
95,154,1862.72
95,155,1866.94
95,156,1872.17
95,157,1876.34
95,158,1881.45
95,159,1885.59
95,160,1890.73
95,161,1894.71
95,162,1899.62
95,163,1903.22
95,164,1907.65
95,165,1910.91
95,166,1915.26
95,167,1918.54
95,168,1922.77
95,169,1926.05
95,170,1930.28
95,171,1933.45
95,172,1937.53
95,173,1940.46
95,174,1944.31
95,175,1947.21
95,176,1951.06
95,177,1953.78
95,178,1957.25
95,179,1959.31
95,180,1962.35
95,181,1964.38
95,182,1967.36
95,183,1969.47
95,184,1972.2
95,185,1973.11
95,186,1975.28
95,187,1976.63
95,188,1978.98
95,189,1980.33
95,190,1982.69
95,191,1983.94
95,192,1986.21
95,193,1987.33
95,194,1989.35
95,195,1990.33
95,196,1992.37
95,197,1993.25
95,198,1995.18
95,199,1995.9
95,200,1997.6
95,201,1998.19
95,202,1999.93
95,203,2000.43
95,204,2001.77
95,205,2002.07
95,206,2003.48
95,207,2003.81
95,208,2005.18
95,209,2005.35
95,210,2006.33
95,211,2006.23
95,212,2006.9
95,213,2006.62
95,214,2007.18
95,215,2006.85
95,216,2007.36
95,217,2006.99
95,218,2007.53
95,219,2007.05
95,220,2007.37
96,119,1597.16
96,120,1608.32
96,121,1617.79
96,122,1629.02
96,123,1638.39
96,124,1649.11
96,125,1657.77
96,126,1668.11
96,127,1675.7
96,128,1684.92
96,129,1692.47
96,130,1701.6
96,131,1709.06
96,132,1718.01
96,133,1725.46
96,134,1734.66
96,135,1742.0
96,136,1750.82
96,137,1757.89
96,138,1766.43
96,139,1773.26
96,140,1781.57
96,141,1788.09
96,142,1796.15
96,143,1802.4
96,144,1809.97
96,145,1816.03
96,146,1823.28
96,147,1828.99
96,148,1835.95
96,149,1841.42
96,150,1848.16
96,151,1853.34
96,152,1859.72
96,153,1864.2
96,154,1870.12
96,155,1874.38
96,156,1880.01
96,157,1884.23
96,158,1889.78
96,159,1893.84
96,160,1899.36
96,161,1903.35
96,162,1908.61
96,163,1912.2
96,164,1916.94
96,165,1920.19
96,166,1924.83
96,167,1928.22
96,168,1932.66
96,169,1935.87
96,170,1940.41
96,171,1943.61
96,172,1947.9
96,173,1950.91
96,174,1955.01
96,175,1957.91
96,176,1962.08
96,177,1964.81
96,178,1968.6
96,179,1970.67
96,180,1974.03
96,181,1976.1
96,182,1979.45
96,183,1981.55
96,184,1984.58
96,185,1985.44
96,186,1987.96
96,187,1989.21
96,188,1991.94
96,189,1993.32
96,190,1995.81
96,191,1997.17
96,192,1999.61
96,193,2000.73
96,194,2003.23
96,195,2004.38
96,196,2006.76
96,197,2007.7
96,198,2009.88
96,199,2010.65
96,200,2012.64
96,201,2013.29
96,202,2015.33
96,203,2015.88
96,204,2017.5
96,205,2017.84
96,206,2019.58
96,207,2019.92
96,208,2021.43
96,209,2021.59
96,210,2022.91
96,211,2022.8
96,212,2023.8
96,213,2023.53
96,214,2024.41
96,215,2024.08
96,216,2024.91
96,217,2024.56
96,218,2025.35
96,219,2024.87
96,220,2025.47
96,221,2024.71
96,222,2024.83
97,121,1615.53
97,122,1626.75
97,123,1636.5
97,124,1647.25
97,125,1656.27
97,126,1666.64
97,127,1674.71
97,128,1684.0
97,129,1691.93
97,130,1700.97
97,131,1709.15
97,132,1718.49
97,133,1726.39
97,134,1735.35
97,135,1743.0
97,136,1751.9
97,137,1759.34
97,138,1767.96
97,139,1775.19
97,140,1783.59
97,141,1790.49
97,142,1798.63
97,143,1805.36
97,144,1813.04
97,145,1819.38
97,146,1826.7
97,147,1832.78
97,148,1839.85
97,149,1845.68
97,150,1852.51
97,151,1858.06
97,152,1864.47
97,153,1869.32
97,154,1875.26
97,155,1879.87
97,156,1885.56
97,157,1890.09
97,158,1895.68
97,159,1900.03
97,160,1905.58
97,161,1909.9
97,162,1915.16
97,163,1919.08
97,164,1923.82
97,165,1927.37
97,166,1931.99
97,167,1935.68
97,168,1940.16
97,169,1943.59
97,170,1948.14
97,171,1951.63
97,172,1955.92
97,173,1959.25
97,174,1963.38
97,175,1966.41
97,176,1970.61
97,177,1973.69
97,178,1977.45
97,179,1979.83
97,180,1983.19
97,181,1985.56
97,182,1988.79
97,183,1991.19
97,184,1994.23
97,185,1995.61
97,186,1998.2
97,187,1999.8
97,188,2002.41
97,189,2004.09
97,190,2006.79
97,191,2008.43
97,192,2011.07
97,193,2012.57
97,194,2015.14
97,195,2016.55
97,196,2018.9
97,197,2020.17
97,198,2022.33
97,199,2023.47
97,200,2025.48
97,201,2026.54
97,202,2028.6
97,203,2029.39
97,204,2031.06
97,205,2031.82
97,206,2033.4
97,207,2033.93
97,208,2035.42
97,209,2035.88
97,210,2037.14
97,211,2037.35
97,212,2038.39
97,213,2038.42
97,214,2039.32
97,215,2039.29
97,216,2040.14
97,217,2040.12
97,218,2040.89
97,219,2040.71
97,220,2041.3
97,221,2040.63
97,222,2040.94
97,223,2040.31
97,224,2040.24
98,123,1636.12
98,124,1647.28
98,125,1656.36
98,126,1667.12
98,127,1675.17
98,128,1684.8
98,129,1692.7
98,130,1702.26
98,131,1710.41
98,132,1720.22
98,133,1728.16
98,134,1737.61
98,135,1745.17
98,136,1754.29
98,137,1761.76
98,138,1770.78
98,139,1778.05
98,140,1786.85
98,141,1793.94
98,142,1802.44
98,143,1809.15
98,144,1817.2
98,145,1823.61
98,146,1831.34
98,147,1837.51
98,148,1844.94
98,149,1850.88
98,150,1858.07
98,151,1863.71
98,152,1870.5
98,153,1875.46
98,154,1881.69
98,155,1886.36
98,156,1892.42
98,157,1897.0
98,158,1902.94
98,159,1907.43
98,160,1913.35
98,161,1917.65
98,162,1923.28
98,163,1927.23
98,164,1932.32
98,165,1935.83
98,166,1940.76
98,167,1944.43
98,168,1949.24
98,169,1952.67
98,170,1957.52
98,171,1961.04
98,172,1965.7
98,173,1969.03
98,174,1973.48
98,175,1976.41
98,176,1980.92
98,177,1983.98
98,178,1988.09
98,179,1990.47
98,180,1994.13
98,181,1996.5
98,182,2000.16
98,183,2002.52
98,184,2005.85
98,185,2007.19
98,186,2010.08
98,187,2011.69
98,188,2014.54
98,189,2016.25
98,190,2019.26
98,191,2020.92
98,192,2023.9
98,193,2025.47
98,194,2028.26
98,195,2029.65
98,196,2032.39
98,197,2033.67
98,198,2036.18
98,199,2037.31
98,200,2039.71
98,201,2040.91
98,202,2043.17
98,203,2043.94
98,204,2045.86
98,205,2046.62
98,206,2048.46
98,207,2049.03
98,208,2050.72
98,209,2051.18
98,210,2052.72
98,211,2052.94
98,212,2054.26
98,213,2054.33
98,214,2055.52
98,215,2055.55
98,216,2056.71
98,217,2056.69
98,218,2057.8
98,219,2057.61
98,220,2058.48
98,221,2058.06
98,222,2058.45
98,223,2057.83
98,224,2058.13
98,225,2057.29
98,226,2057.68
98,227,2056.88
99,125,1654.14
99,126,1665.01
99,127,1673.46
99,128,1678.32
99,129,1686.96
99,130,1701.21
99,131,1709.7
99,132,1719.5
99,133,1727.8
99,134,1737.34
99,135,1745.36
99,136,1754.63
99,137,1762.43
99,138,1771.55
99,139,1779.15
99,140,1788.1
99,141,1795.51
99,142,1804.06
99,143,1811.12
99,144,1819.27
99,145,1826.05
99,146,1833.88
99,147,1840.46
99,148,1847.93
99,149,1854.22
99,150,1861.49
99,151,1867.49
99,152,1874.34
99,153,1879.64
99,154,1885.92
99,155,1890.94
99,156,1897.02
99,157,1901.95
99,158,1907.92
99,159,1912.77
99,160,1918.71
99,161,1923.37
99,162,1929.03
99,163,1933.31
99,164,1938.41
99,165,1942.29
99,166,1947.18
99,167,1951.15
99,168,1956.1
99,169,1959.66
99,170,1964.48
99,171,1968.29
99,172,1972.97
99,173,1976.63
99,174,1981.09
99,175,1984.45
99,176,1988.68
99,177,1992.09
99,178,1996.21
99,179,1998.88
99,180,2002.54
99,181,2005.18
99,182,2008.81
99,183,2011.51
99,184,2014.84
99,185,2016.59
99,186,2019.55
99,187,2021.48
99,188,2024.33
99,189,2026.38
99,190,2029.54
99,191,2031.58
99,192,2034.57
99,193,2036.4
99,194,2039.23
99,195,2040.94
99,196,2043.69
99,197,2045.26
99,198,2047.74
99,199,2049.28
99,200,2051.81
99,201,2053.23
99,202,2055.48
99,203,2056.58
99,204,2058.5
99,205,2059.53
99,206,2061.4
99,207,2062.2
99,208,2063.84
99,209,2064.55
99,210,2066.1
99,211,2066.61
99,212,2067.96
99,213,2068.36
99,214,2069.57
99,215,2069.9
99,216,2071.11
99,217,2071.35
99,218,2072.48
99,219,2072.56
99,220,2073.48
99,221,2073.34
99,222,2073.73
99,223,2073.38
99,224,2073.71
99,225,2073.29
99,226,2073.52
99,227,2072.99
99,228,2073.16
99,229,2072.5
100,126,1664.81
100,127,1673.22
100,128,1678.31
100,129,1687.03
100,130,1701.69
100,131,1710.3
100,132,1720.49
100,133,1728.86
100,134,1738.8
100,135,1746.91
100,136,1756.4
100,137,1764.15
100,138,1773.59
100,139,1781.21
100,140,1790.47
100,141,1797.95
100,142,1806.85
100,143,1813.99
100,144,1822.51
100,145,1829.35
100,146,1837.6
100,147,1844.15
100,148,1852.06
100,149,1858.42
100,150,1866.09
100,151,1872.18
100,152,1879.42
100,153,1884.76
100,154,1891.5
100,155,1896.54
100,156,1902.98
100,157,1907.95
100,158,1914.32
100,159,1919.24
100,160,1925.56
100,161,1930.25
100,162,1936.34
100,163,1940.64
100,164,1946.08
100,165,1949.98
100,166,1955.16
100,167,1959.1
100,168,1964.37
100,169,1967.97
100,170,1973.1
100,171,1976.92
100,172,1981.94
100,173,1985.61
100,174,1990.41
100,175,1993.78
100,176,1998.24
100,177,2001.65
100,178,2006.09
100,179,2008.8
100,180,2012.78
100,181,2015.48
100,182,2019.4
100,183,2022.09
100,184,2025.74
100,185,2027.44
100,186,2030.66
100,187,2032.57
100,188,2035.73
100,189,2037.68
100,190,2041.19
100,191,2043.27
100,192,2046.59
100,193,2048.44
100,194,2051.51
100,195,2053.21
100,196,2056.2
100,197,2057.84
100,198,2060.74
100,199,2062.27
100,200,2065.18
100,201,2066.68
100,202,2069.22
100,203,2070.37
100,204,2072.61
100,205,2073.47
100,206,2075.64
100,207,2076.35
100,208,2078.33
100,209,2078.94
100,210,2080.77
100,211,2081.28
100,212,2082.94
100,213,2083.36
100,214,2084.9
100,215,2085.29
100,216,2086.77
100,217,2087.12
100,218,2088.5
100,219,2088.58
100,220,2089.82
100,221,2089.49
100,222,2090.44
100,223,2090.14
100,224,2090.7
100,225,2090.28
100,226,2090.84
100,227,2090.32
100,228,2090.75
100,229,2090.12
100,230,2090.41
100,231,2089.59
101,128,1676.17
101,129,1685.2
101,130,1699.83
101,131,1708.83
101,132,1719.1
101,133,1727.84
101,134,1737.83
101,135,1746.35
101,136,1755.81
101,137,1763.94
101,138,1773.32
101,139,1781.26
101,140,1790.58
101,141,1798.4
101,142,1807.4
101,143,1814.86
101,144,1823.42
101,145,1830.64
101,146,1838.93
101,147,1845.91
101,148,1853.9
101,149,1860.65
101,150,1868.42
101,151,1874.87
101,152,1882.19
101,153,1887.92
101,154,1894.71
101,155,1900.18
101,156,1906.7
101,157,1912.07
101,158,1918.48
101,159,1923.78
101,160,1930.1
101,161,1935.24
101,162,1941.34
101,163,1946.01
101,164,1951.44
101,165,1955.65
101,166,1960.8
101,167,1965.01
101,168,1970.27
101,169,1974.2
101,170,1979.28
101,171,1983.42
101,172,1988.44
101,173,1992.44
101,174,1997.27
101,175,2000.95
101,176,2005.36
101,177,2009.03
101,178,2013.47
101,179,2016.48
101,180,2020.46
101,181,2023.45
101,182,2027.36
101,183,2030.37
101,184,2034.05
101,185,2036.15
101,186,2039.4
101,187,2041.65
101,188,2044.78
101,189,2047.07
101,190,2050.66
101,191,2053.03
101,192,2056.35
101,193,2058.52
101,194,2061.67
101,195,2063.63
101,196,2066.62
101,197,2068.66
101,198,2071.52
101,199,2073.47
101,200,2076.26
101,201,2078.0
101,202,2080.67
101,203,2082.09
101,204,2084.31
101,205,2085.52
101,206,2087.5
101,207,2088.62
101,208,2090.59
101,209,2091.51
101,210,2093.31
101,211,2094.11
101,212,2095.79
101,213,2096.5
101,214,2098.11
101,215,2098.79
101,216,2100.32
101,217,2100.94
101,218,2102.35
101,219,2102.76
101,220,2103.97
101,221,2103.99
101,222,2104.92
101,223,2104.9
101,224,2105.44
101,225,2105.35
101,226,2105.85
101,227,2105.6
101,228,2106.03
101,229,2105.68
101,230,2105.86
101,231,2105.4
101,232,2105.6
101,233,2105.04
102,130,1695.11
102,131,1708.33
102,132,1718.98
102,133,1727.76
102,134,1738.13
102,135,1746.64
102,136,1756.64
102,137,1764.72
102,138,1774.43
102,139,1782.38
102,140,1792.04
102,141,1799.88
102,142,1809.23
102,143,1816.73
102,144,1825.69
102,145,1832.95
102,146,1841.6
102,147,1848.62
102,148,1857.01
102,149,1863.82
102,150,1871.99
102,151,1878.51
102,152,1886.23
102,153,1891.98
102,154,1899.19
102,155,1904.72
102,156,1911.59
102,157,1917.07
102,158,1923.89
102,159,1929.22
102,160,1936.02
102,161,1941.19
102,162,1947.7
102,163,1952.44
